SITE_NAME,COEFF_VARIATION
0278BR,0.0521429972389393
0278KO,0.0704474117079489
0279BB,0.05025450538089488
0279BR,0.05652062499694413
0279KO,0.0433033912742308
0280BB,0.37048302176298525
0280BR,1.0426843033568376
0280KO,0.05255865012513171
0281BB,1.5198583420281147
0281BR,0.13249415884595292
0281KO,0.19253812584858782
0282BB,0.8886573240912057
0282BR,0.007473787606880874
0282KO,0.5709684339023923
0283BB,0.15148976590047028
0283BR,0.37228858333295395
0283KO,0.07226336341052872
0284BB,0.04005014305512224
0284BR,0.15941253112233025
0284KO,0.1915571888240907
0285BB,0.09588491068747729
0285BR,0.4341336433083891
0285KO,0.0758155910481088
0286BB,0.003057040595355375
0286BR,0.4836723331398523
0286KO,0.3013157132008402
0287BB,0.07841778441506606
0287BR,0.6270035910859311
0287KO,0.16001957691717572
0288BB,0.039590515547337106
0288BR,0.15364373905441195
0288KO,0.03711315934664778
0289BB,1.6350304649455083
0289BR,0.06310191329954164
0289KO,0.08529689458870215
0290BB,0.07301726624513309
0290BR,0.08086404125767113
0290KO,1.5433474795577917
0291BB,0.13169822114099602
0291KO,0.06815336691518477
0292BB,0.0229153446716537
0292BR,0.5775683178514655
0292KO,0.07348155180287305
0293BB,0.47682973393968553
0293BR,0.5157517955783104
0293KO,0.09826475039654599
0294BB,0.069587005267955
0294BR,0.07168944741618463
0294KO,0.30261651468971423
0295BB,1.0276659560713568
0295BR,0.0620942190234346
0295KO,0.12765299693441587
0296BB,1.2906265657711402
0296BR,0.1325978989656722
0296KO,0.049869368956348
0297BB,0.13696778717734687
0297BR,0.7125788841609588
0297KO,0.15359633422297597
0298BB,0.35681644648776656
0298BR,0.14587966624233206
0298KO,0.07906705995797743
0299BB,0.09917096709993038
0299BR,0.0647717013605941
0299KO,0.06585176613411876
0300BB,0.1020337777582986
0300BR,0.03725440842126596
0300KO,0.14985914682518503
0301BB,1.4799369913307274
0301BR,0.3800774672959102
0301KO,0.0954200855490962
0302BB,0.20658053699077472
0302BR,0.3896193702485382
0303BB,0.15975540190070484
0303BR,0.11027076957194469
0303KO,0.04216025600132944
0304BB,1.368154491391721
0304BR,0.06418094383166136
0304KO,0.6068799980058855
0305BB,0.009534544885661212
0305KO,0.22087670539069032
0306KO,0.03197968783805182
0307BR,0.4341372398351549
0307KO,0.6235627015277531
0308BB,0.034570978404802256
0308BR,0.7334510725144286
0308KO,0.3427802955433246
0309BB,0.03279819562555232
0309BR,0.07249425371856635
0309KO,0.07366025792218178
0310BB,0.12048739615784261
0310BR,0.2540052834698756
0310KO,0.5430471643452147
0311BB,0.12011635204123716
0311BR,0.41764124161335214
0311KO,0.10517001421547569
0312BB,1.5419477477944534
0312BR,0.5560686748950718
0312KO,0.046314064984962114
0313BB,0.031406406355235617
0313BR,0.7790926903892852
0313KO,0.30358799239103496
0314BB,0.048923380491919397
0314BR,0.08604932940230424
0314KO,0.1549402219719985
0315BB,0.17206573924023896
0315BR,0.4259531560880547
0315KO,0.25838566732499013
0316BB,1.576326443557003
0316BR,0.1344943678548414
0316KO,0.17391812114714042
0317BB,1.2937314375381184
0317BR,0.3892655116245829
0317KO,0.20433725228275668
0318BB,0.28919779727901235
0318BR,0.15727297483756833
0318KO,0.2673477929206165
0319BB,0.10904286118992507
0319BR,0.15204939636789108
0319KO,0.1409797909503543
0320BB,0.015364762971047993
